read2_code,phecode
C1510,255.12
C1511,255.12
C1512,255.12
C151z,255.12
C1520,255.3
C1522,255.3
C154.,255.21
C1541,255.21
C1543,255.21
C1544,255.21
C15y.,255.0
C15z.,255.0
C16..,256.0
C161.,256.0
C1610,256.0
C163.,256.0
C1630,627.5
C1631,627.5
C1632,256.0
C163z,256.0
C164.,256.4
C16y.,256.0
C16z.,256.0
C17..,257.0
C172.,257.1
C172y,257.1
C172z,257.1
C18..,259.0
C18y.,259.0
C1z..,259.0
C1z0.,259.3
C1z11,259.4
C1z2.,259.2
C1z4.,259.0
C1zy2,759.0
C1zz.,259.0
C21..,260.22
C24..,261.1
C250.,261.2
C26..,261.2
C260.,261.2
C261.,261.2
C262.,261.2
C2620,261.2
C2621,261.2
C26z.,261.2
C27..,261.3
C28..,261.4
C280.,261.41
C282.,261.41
C284.,261.41
C28z.,261.4
C290.,261.0
C291.,261.0
C2910,261.0
C291z,261.0
C292.,261.0
C293.,263.0
C2930,262.0
C293z,263.0
C2941,262.0
C29y.,263.0
C2z..,263.0
C3000,270.1
C3001,270.1
C301.,270.12
C3025,270.1
C3043,270.11
C3070,270.2
C3074,270.2
C30y4,270.2
C31..,271.9
C310.,271.9
C3100,271.9
C3102,271.9
C310z,271.9
C311.,271.9
C313.,271.3
C3131,271.3
C3133,271.3
C3134,271.3
C3135,271.3
C314.,271.9
C31y2,271.9
C31y6,271.9
C32..,272.9
C320.,272.11
C3202,272.11
C320y,272.11
C320z,272.11
C321.,272.12
C322.,272.13
C323.,272.14
C324.,272.1
C3250,277.51
C3252,277.51
C3253,277.51
C325z,277.51
C326z,277.51
C32y.,277.5
C32y0,277.5
C32y0,277.0
C32y6,277.5
C32z.,272.9
C33..,277.0
C330.,270.31
C331.,270.32
C332.,270.31
C3320,270.32
C3321,270.32
C332z,270.31
C333.,270.35
C3330,270.35
C3332,204.4
C33y0,277.51
C33z.,277.0
C340.,274.1
C34y.,274.1
C34y2,274.1
C34y5,274.1
C34yz,274.1
C34z.,274.1
C35..,275.0
C350.,275.1
C3500,275.1
C3501,275.1
C3502,275.1
C3504,275.1
C350y,275.1
C351.,275.2
C3510,275.2
C3521,275.3
C353.,275.53
